player_id,first_name,last_name,flag_code,birth_year,birth_month,birth_day,turned_pro,weight_kg,height_cm,handedness,backhand
ra62,Sami,Reinwein,GER,1992,5,29,,75,180,Left-Handed,Two-Handed Backhand
ra78,Vikram,Reddy B,IND,1990,1,26,,,,,
ra82,Yannik,Reuter,BEL,1991,3,6,,,,Right-Handed,Two-Handed Backhand
rb04,Quentin,Robert,FRA,1994,8,24,,,,,
rb11,Pedro Pablo,Ruiz,COL,1994,2,8,,,,,
rb17,Alexander,Rumyantsev,RUS,1992,8,16,,,,,
rb23,Mark,Richards,AUS,1993,12,3,,,,,
rb29,Marko,Rajic,SRB,1992,5,9,,,,Right-Handed,Two-Handed Backhand
rb32,Quentin,Robert,FRA,1991,9,30,,,,Right-Handed,Two-Handed Backhand
rb31,Martin,Rondina,ARG,1991,5,28,,,,,
rb47,Vorachit,Runglertmaneepong,THA,1990,2,13,,,,,
rb49,Lucas,Renard,SWE,1992,9,30,,80,185,Right-Handed,Two-Handed Backhand
rb50,Claudio,Rivera,SWE,1992,6,28,,,,Right-Handed,Two-Handed Backhand
rb56,Ramkumar,Ramanathan,IND,1994,11,8,,77,188,Right-Handed,Two-Handed Backhand
rb58,Felipe,Rios,CHI,1992,3,4,,,,Right-Handed,Two-Handed Backhand
rb67,A.,Riba,,,,,,,,,
rb60,Oriol,Roca Batalla,ESP,1993,4,30,,,,,
rb77,Nathan,Rakitt,USA,1993,4,21,,,,,
rb70,Francisco,Ramos,POR,1993,3,25,,,,,
rb86,Sidharth,Rawat,IND,1993,4,21,,70,175,Right-Handed,Two-Handed Backhand
rc04,Alexander,Ritschard,SUI,1994,3,24,,,,Right-Handed,Two-Handed Backhand
rc33,Mateo Andres,Ruiz Naranjo,COL,1996,7,15,,77,3,Right-Handed,Two-Handed Backhand
rc46,Juan,Rocha,ARG,1991,7,5,,,,,
rc77,Demian,Raab,GER,1993,7,20,,79,188,Right-Handed,Two-Handed Backhand
rc92,Carlos,Ramirez Utermann,MEX,1995,8,22,,81,191,Right-Handed,One-Handed Backhand
rc83,Simeon,Rossier,SUI,1995,1,15,,62,173,Left-Handed,One-Handed Backhand
rc86,John Harrison,Richmond,USA,1994,2,18,,,,,
rc96,Noah,Rubin,USA,1996,2,21,2015,68,175,Right-Handed,Two-Handed Backhand
rd02,Diogo,Rocha,POR,1994,7,13,,,,,
rd06,Joao,Riquelme,CHI,1995,7,13,,,,Right-Handed,Two-Handed Backhand
rd32,Timur,Razmaitov,RUS,1997,4,10,,,,,
rd34,Lukas,Ruepke,GER,1993,7,6,,85,180,Right-Handed,Two-Handed Backhand
rd41,Kovit,Ratanaphet,THA,1983,11,6,,,,,
rd42,V,Rudj,RUS,,,,,,,,
rd43,J J F,Robinson,GBR,,,,,,,,
rd64,Murray,Robinson,USA,1959,10,11,,,,,
rd65,Roland,Russo,AUS,,,,,,,,
rd46,Nicholas,Reyes,USA,1995,1,17,,83,188,Right-Handed,One-Handed Backhand
rd69,Mike,Rowe,GBR,,,,,,,,
rd70,D.,Roberts,GBR,,,,,,,,
rd85,C.,Rudman,RSA,,,,,,,,
rd80,Carlos,Romero,ARG,1946,3,9,,,,,
rd79,Ernesto,Rios,ARG,1932,2,29,,,,,
rd86,J.,Rudman,RSA,,,,,,,,
rd87,Unknown,Rios,,,,,,,,,
rd89,Dave,Ranney,USA,,,,,,,,
rd88,Colin,Rees,RSA,,,,,,,,
rd90,Geoff,Roberts,GBR,,,,,,,,
rd91,N. L. ,Reevell,GBR,,,,,,,,
rd92,C.,Ryan,IRL,,,,,,,,
rd93,Mauro,Rezzonico,ITA,1944,12,23,,,,,
rd98,Unknown,Rodrigues,,,,,,,,,
rd99,Michael,Ruffin,USA,,,,,,,,
re00,Donald,Ringgold,USA,,,,,,,,
re01,Colin,Robertson,USA,1945,9,2,,,,,
re03,Donald,Rubell,USA,,,,,,,,
re04,Eugene,Russo,AUS,,,,,,,,
re02,Edouard Georges,Rubinoff,USA,,,,,,,,
re05,Jim,Ryan,AUS,,,,,,,,
re08,Anthony,Richards,AUS,,,,,,,,
re09,John,Reese,USA,,,,,,,,
re10,Pedro,Rosello,PUR,,,,,,,,
re11,Jacques,Renavand,FRA,1939,11,12,,,,,
re12,Jeff,Robson,NZL,1926,9,30,,,,,
re13,David,Reed,USA,,,,,,,,
re15,Thomas,Roesch,USA,,,,,,,,
re14,Charles,Rombeau,USA,,,,,,,,
re17,Joaquin,Reyes,MEX,,,,,,,,
re19,Donald,Ralph,USA,,,,,,,,
re18,Alan,Roberts,USA,1939,4,20,,,,,
re20,Thomas,Richardson,USA,,,,,,,,
re21,Ivo,Ribeiro,BRA,1938,9,7,,,,,
re24,Dennis,Reilly,AUS,,,,,,,,
re23,Donald,Russell,AUS,,,,,,,,
re22,Richard,Raskind,USA,,,,,,,,
re25,Richard,Razzetti,USA,,,,,,,,
re30,Jan,Radzio,POL,1931,2,8,,,,,
re29,Paul,Remy,FRA,1923,2,17,,,,,
re31,Henri,Rochon,CAN,,,,,,,,
re32,Jeffrey,Robinson,GBR,,,,,,,,
re33,David,Rowe,AUS,,,,,,,,
re34,Gustavo,Rueda,COL,,,,,,,,
re35,Hans,Redl,AUT,1914,1,19,,,,,
re36,Graham,Regan,AUS,,,,,,,,
re37,Geoffrey,Radford,AUS,,,,,,,,
re39,William,Rose,USA,,,,,,,,
re38,Robert,Ryland,USA,,,,,,,,
re41,Keith,Rogers,AUS,,,,,,,,
re40,Ron,Reid,AUS,,,,,,,,
re43,Bruce,Robinson,AUS,,,,,,,,
re42,H.,Robineau,USA,,,,,,,,
re47,Edward,Rogers,USA,,,,,,,,
re44,Andrey,Rublev,RUS,1997,10,20,2014,68,188,Right-Handed,Two-Handed Backhand
re50,D.,Rivkind,GBR,,,,,,,,
re48,Don,Rocavert,AUS,,,,,,,,
re51,S.A.,Rauf,PAK,,,,,,,,
re53,O.,Rodriguez,COL,,,,,,,,
re54,Ronald,Reeve,GBR,,,,,,,,
re52,Raymond,Rodel,FRA,,,,,,,,
re55,Ivo,Rinkel,NED,1920,10,27,,,,,
re56,Nils,Rohlsson,SWE,1916,3,31,,,,,
re57,Luis,Riefkohl,MEX,1929,6,6,,,,,
re58,David,Rodriguez,USA,,,,,,,,
re59,Linn,Rockwood,USA,,,,,,,,
re60,James,Read,USA,,,,,,,,
re61,P.,Rodel,,,,,,,,,
re62,Arthur,Roberts,GBR,1929,11,21,,,,,
re63,Lord,Ronaldshay,GBR,,,,,,,,
re64,Jose,Roquette,POR,,,,,,,,
re65,Philip,Reed,USA,,,,,,,,
re66,Stanley,Rumbough,USA,,,,,,,,
re67,John,Rutherglen,GBR,,,,,,,,
re68,Brian,Rooke,RSA,,,,,,,,
re69,George,Richards,USA,,,,,,,,
re70,Oliver,Roddey,USA,,,,,,,,
re72,D.,Roger,FRA,,,,,,,,
re71,H.,Raward,AUS,,,,,,,,
re73,Brian,Royds,GBR,,,,,,,,
re74,William,Robertson,USA,,,,,,,,
re75,Vinicius,Rurac,ROU,,,,,,,,
re76,J.,Rodgers,AUS,,,,,,,,
re77,William,Ryan,AUS,,,,,,,,
re78,Ernest,Rowe,AUS,,,,,,,,
re79,Colin,Robbins,RSA,1905,2,5,,,,,
re80,Andre,Roche,FRA,,,,,,,,
re82,Friedrich,Rohrer,CZE,,,,,,,,
re81,Jean,Rimet,FRA,,,,,,,,
re83,Frederick,Roll,USA,,,,,,,,
re84,Sergei,Rodzianko,RUS,,,,,,,,
re87,Jack,Rodgers,USA,,,,,,,,
re96,Rolor,Ray,USA,,,,,,,,
re97,Harrison,Rowbotham,USA,,,,,,,,
re98,Edward,Ray,USA,,,,,,,,
re99,Caldwell,Russell,USA,,,,,,,,
rf02,E.,Robinson,,,,,,,,,
rf00,Bobby,Riggs,USA,1918,2,25,,,,,
rf03,Carlton,Rood,USA,,,,,,,,
rf14,Paul,Roux,FRA,,,,,,,,
rf06,Colin,Ritchie,GBR,,,,,,,,
rf15,David,Rutnam,IND,,,,,,,,
rf16,Richard,Ritchie,GBR,,,,,,,,
rf18,William,Rood,USA,,,,,,,,
rf17,Sigurd,Rinde,NOR,1917,3,18,,,,,
rf22,Charles,Rider,USA,,,,,,,,
rf20,Harold,Rothwell,GBR,,,,,,,,
rf19,James,Reddall,GBR,,,,,,,,
rf21,A.,Reid,AUS,,,,,,,,
rf23,A.,Ritossa,,,,,,,,,
rf25,Milton,Ruehl,USA,,,,,,,,
rf27,Marcel,Rainville,CAN,1903,6,30,,,,,
rf24,William,Reese,USA,,,,,,,,
rf28,Colin,Robertson,USA,,,,,,,,
rf29,Augusto,Rado,ITA,1912,11,21,,,,,
rf30,John,Ruckert,USA,,,,,,,,
